cv_algo	cv_param1	cv_param2	cv_val1	cv_val2	algo	level	mq_cnt	nc_cnt	sample_id	sample_type	best_cluster	best_match	majority_rule
hdbscan	min_cluster_size	min_samples	15.0	15	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	15.0	15	denovo	strain	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	15.0	15	denovo	exact	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	hdbscan	strain	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	hdbscan	exact	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	denovo	strain	8	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	5	denovo	exact	8	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	hdbscan	strain	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	hdbscan	exact	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	denovo	strain	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	10	denovo	exact	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	hdbscan	strain	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	hdbscan	exact	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	denovo	strain	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	15	denovo	exact	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	hdbscan	strain	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	hdbscan	exact	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	denovo	strain	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	25.0	25	denovo	exact	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	hdbscan	strain	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	hdbscan	exact	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	denovo	strain	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	5	denovo	exact	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	hdbscan	strain	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	hdbscan	exact	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	denovo	strain	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	10	denovo	exact	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	hdbscan	strain	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	hdbscan	exact	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	denovo	strain	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	15	denovo	exact	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	hdbscan	strain	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	hdbscan	exact	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	denovo	strain	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	25	denovo	exact	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	hdbscan	strain	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	hdbscan	exact	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	ocsvm	exact	14	9	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	denovo	strain	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	40	denovo	exact	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	hdbscan	strain	14	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	hdbscan	exact	14	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	denovo	strain	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	50.0	50	denovo	exact	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	hdbscan	strain	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	hdbscan	exact	14	13	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	ocsvm	exact	14	9	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	denovo	strain	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	5	denovo	exact	8	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	hdbscan	strain	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	hdbscan	exact	13	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	ocsvm	exact	14	9	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	denovo	strain	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	10	denovo	exact	7	7	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	hdbscan	strain	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	hdbscan	exact	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	denovo	strain	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	15	denovo	exact	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	hdbscan	strain	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	hdbscan	exact	13	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	denovo	strain	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	75.0	25	denovo	exact	7	6	Skin_18	Skin	3	Urogenital_2	MR
